bdd name;batch name;resultat (ok|ko);commentaire
crm2;2016-07-21a_sls_periode.sql;OK;
skifute2;2016-07-21a_sls_periode.sql;OK;
francefute2;2016-07-21a_sls_periode.sql;OK;
